SpotifyTrack,SpotifyArtist,uri,year,genre,release_date,popular,key,explicit,mode,chartrank,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,time_signature
The Good Stuff,Kenny Chesney,spotify:track:1sR3kJi14jA8Gau3a0yXAo,2002,Country,4/2/2002,1,7,0,1,1,0.255,0.612,0.62,200440,0,0.502,143.78,0.129,-9.785,0.0645,4
Drive (For Daddy Gene),Alan Jackson,spotify:track:1FV374EPG5CrjdIbIMLkcv,2002,Country,1/15/2002,1,11,0,1,2,0.338,0.713,0.579,242733,0,0.511,125.179,0.174,-8.066,0.0413,4
Living And Living Well,George Strait,spotify:track:3YxKqZFpcxBPvpUssL8FS2,2002,Country,1/1/2001,1,1,0,1,3,0.347,0.602,0.683,218307,0.00338,0.522,120.787,0.11,-6.82,0.0304,4
Good Morning Beautiful,Steve Holy,spotify:track:0eHT8N5YQglv8cYYizXvSw,2002,Country,10/3/2000,1,7,0,1,4,0.452,0.565,0.5,210933,0,0.242,70.984,0.137,-8.822,0.031,4
I Miss My Friend,Darryl Worley,spotify:track:0qnoS5hMZMphvKWi0D2LQh,2002,Country,1/1/2002,1,4,0,1,5,0.155,0.554,0.474,242927,0.0000167,0.41,139.832,0.0859,-7.843,0.025,4
My List,Toby Keith,spotify:track:3vzmDjQ7E6gzAVg4ecp6XU,2002,Country,1/1/2008,1,1,0,0,6,0.332,0.629,0.737,199813,0,0.341,87.068,0.147,-4.309,0.0323,4
I Don't Have To Be Me ('Til Monday) - Single Version,Steve Azar,spotify:track:5v1bA7NmQcQHvH9IDkeeF4,2002,Country,1/1/2002,1,8,0,1,7,0.201,0.497,0.717,196952,0,0.771,168.999,0.0458,-4.224,0.0303,4
Beautiful Mess,Diamond Rio,spotify:track:7LvK43IERbcLsuabmyKQgi,2002,Country,1991,1,1,0,1,8,0.317,0.402,0.817,227920,0,0.376,177.342,0.105,-3.756,0.0406,4
Blessed,Martina McBride,spotify:track:0nGzwlShUTBEQePuzMoUjN,2002,Country,9/17/2001,1,7,0,1,9,0.183,0.587,0.629,276600,0,0.425,114.993,0.0686,-7.439,0.0424,4
The Impossible,Joe Nichols,spotify:track:5vyVckEUyIogu3Fq7J3lBR,2002,Country,1/1/2002,1,9,0,1,10,0.354,0.617,0.504,245573,0.0000031,0.197,77.988,0.0875,-6.702,0.0295,4
Ten Rounds with Jose Cuervo - Recall Mix,Tracy Byrd,spotify:track:26J61MmE6YCWqIyROZdEgL,2002,Country,7/23/2001,1,2,0,1,11,0.00504,0.681,0.864,182453,0,0.931,127.079,0.212,-7.839,0.0347,4
What If She's An Angel,Tommy Shane Steiner,spotify:track:4avs56frsTcnjwy2KlCQ5D,2002,Country,4/9/2002,1,8,0,1,12,0.308,0.535,0.528,215533,0.00000111,0.41,146.169,0.0912,-7.453,0.0258,4
The One,Gary Allan,spotify:track:3bshjjlr63HkgFFxdA8mvg,2002,Country,1/1/2001,1,8,0,1,13,0.54,0.594,0.601,259760,0.004,0.66,136.11,0.0526,-9.036,0.0312,4
Somebody Like You,Keith Urban,spotify:track:0b9djfiuDIMw1zKH6gV74g,2002,Country,1/1/2002,1,4,0,1,14,0.108,0.624,0.84,323040,0.000546,0.656,111.02,0.144,-5.768,0.0337,4
Bring On The Rain,Jo Dee Messina /and/ Tim McGraw,spotify:track:1OnXz5v4hVdrNLJ9N4MqzL,2002,Country,8/1/2000,1,5,0,1,16,0.689,0.468,0.404,240173,0,0.148,138.115,0.177,-7.25,0.0286,4
